*c1ncnc2ccsc12,952
*C(=O)CN,946
*c1nnc[nH]1,944
*c1cncc(C#N)c1,939
*c1cccc2[nH]cnc12,938
*c1cn(C)c2ccccc12,925
*C1CCN1,923
*c1ccc2c(c1)OCCO2,922
*S(=O)(=O)c1ccc(F)cc1,920
*c1cccnc1Cl,919
*c1ccc2occc2c1,915
*C(CC)C(=O)O,909
*C1COC(=O)N1,899
*c1cccc(S(N)(=O)=O)c1,897
*C(C)C#N,897
*c1coc2ccccc12,893
*N1CCC(C)C1,891
*c1ccc2nc[nH]c2c1,890
*c1cc2ccccc2cn1,889
*C(=O)CCCC(=O)O,889
*CF,886
*C1CCCCC1C#N,886
*c1csc2ncncc12,882
*c1cncc(F)c1,880
*c1cn2ncccc2n1,877
*c1cc(C)no1,877
*c1c[nH]c2ccc(F)cc12,874
*c1ncccc1C,873
*C(C=O)C(C)(C)C,867
*c1ccc2c(n1)NCCC2,863
*C(O)CC,862
*C1CCOC1=O,862
*c1nc2ccccc2n1C,860
*C1CCCCNC1=O,859
*C1CCC(=O)N1,856
*C1C2CNCC12,856
*N1CC2CC2C1,854
*N1CCCCCC1,848
*c1cc2ncnn2cn1,846
*c1cncnc1N,842
*C1CCCCO1,839
*C1CC2CCC1N2,838
*CCCCCCCCC,837
*C1CC2CCC1C2,837
*c1c(F)cccc1Cl,831
*c1cccnc1C,828
*c1nc[nH]n1,828
*C(CCC(=O)O)C(=O)O,827
*N1CCCCC1C,824
*C1CCC(C)CC1,822
*N1CCCc2ccccc21,822
*S(=O)(=O)CCC,820
*CP(=O)(O)O,814
*C1Cc2ccccc2C1,813
*CC(O)CO,812
*n1ncnn1,809
*c1cc(O)cc(O)c1,803
*CCC(N)=O,802
*n1nc(C)cc1C,798
*c1cccc(C)c1C,797
*N1C(=O)CCC1=O,791
*C1CCc2ccccc2C1,786
*c1nc(C)no1,785
*n1ccc(C)n1,780
*C(=O)C(F)(F)F,779
*CC(C)=O,779
*CCCCC(=O)NO,779
*C(=O)CC#N,777
*C1CCN(C)C1,776
*n1ccc2c(N)ncnc21,774
*c1cccc(I)c1,774
*c1cccc2ncccc12,768
*c1nccn1C,766
*c1ccc2cc[nH]c2c1,766
*c1ccc2ccncc2c1,764
*c1cc(F)c(F)cc1F,764
*c1csc2ccccc12,762
*n1cnc2cccnc21,762
*C1CCS(=O)(=O)CC1,760
*c1cccn2ncnc12,758
*C1CCCN(C)C1,752
*S(=O)(=O)c1cccc(Cl)c1,751
*c1cnoc1,746
*c1ccc(C)o1,743
*c1ccc(C)cn1,742
*c1nc2ccncn2n1,738
*c1ncccc1C#N,737
*c1ncns1,737
*S(=O)(=O)c1cccs1,729
*N1CC(C)NC(C)C1,722
*C1C(=O)NC(=O)NC1=O,721
*c1ncc2sccc2n1,719
*c1nccc(=O)[nH]1,718
*c1c[nH]c2ncncc12,714
*c1cc(=O)[nH]cn1,713
*N1CCCC1C#N,713
*c1nccc2ccccc12,711
*c1ncc2cccnc2n1,709
*C(C)CC(=O)O,706
*c1noc2ccccc12,705
*N1Cc2ccccc2C1=O,704
*c1c(C)cc(O)cc1C,700
